Temperature	Energy	Magnetization
0.1	8.0	1.0
0.1393939393939394	8.0	1.0
0.17878787878787877	8.0	1.0
0.21818181818181817	8.0	1.0
0.25757575757575757	8.0	1.0
0.296969696969697	8.0	1.0
0.3363636363636363	8.0	1.0
0.37575757575757573	8.0	1.0
0.41515151515151516	8.0	1.0
0.4545454545454545	8.0	1.0
0.4939393939393939	8.0	1.0
0.5333333333333333	8.0	1.0
0.5727272727272726	8.0	1.0
0.6121212121212121	8.0	1.0
0.6515151515151515	8.0	1.0
0.6909090909090908	8.0	1.0
0.7303030303030302	8.0	1.0
0.7696969696969697	8.0	1.0
0.809090909090909	8.0	1.0
0.8484848484848484	8.0	1.0
0.8878787878787878	7.9936	0.9996
0.9272727272727271	7.9968	0.9998
0.9666666666666666	7.9904	0.9994
1.006060606060606	8.0	1.0
1.0454545454545454	7.976	0.9984
1.0848484848484847	7.9904	0.9994
1.1242424242424243	7.9712	0.9982
1.1636363636363636	7.9728	0.9982
1.2030303030303031	7.9312	0.9954
1.2424242424242424	7.9344	0.9954
1.2818181818181817	7.9632	0.9976
1.3212121212121213	7.904	0.9938
1.3606060606060606	7.8832	0.9922
1.4	7.8592	0.9904
1.4393939393939394	7.7984	0.9856
1.4787878787878788	7.8288	0.9888
1.518181818181818	7.7792	0.9846
1.5575757575757576	7.7616	0.983
1.596969696969697	7.7696	0.9844
1.6363636363636362	7.7056	0.978
1.6757575757575758	7.6112	0.97
1.715151515151515	7.6	0.9728
1.7545454545454544	7.5248	0.9644
1.793939393939394	7.5248	0.9656
1.8333333333333333	7.3472	0.9504
1.8727272727272726	7.2656	0.9432
1.912121212121212	7.2144	0.9394
1.9515151515151514	7.0656	0.9228
1.9909090909090907	7.112	0.926
2.0303030303030303	6.9168	0.9054
2.0696969696969694	6.856	0.9044
2.109090909090909	6.5072	0.844
2.1484848484848484	6.392	0.815
2.187878787878788	6.3584	0.8316
2.227272727272727	6.2816	0.7934
2.2666666666666666	5.808	0.689
2.306060606060606	5.4528	0.595
2.3454545454545452	5.2368	0.5232
2.3848484848484848	5.0576	0.459
2.4242424242424243	4.832	0.4092
2.4636363636363634	4.5728	0.397
2.503030303030303	4.3136	0.2306
2.5424242424242425	4.3168	0.2554
2.5818181818181816	4.1648	0.119
2.621212121212121	4.0624	0.0434
2.6606060606060606	3.9296	0.143
2.6999999999999997	3.8624	0.1372
2.7393939393939393	3.7904	0.0748
2.778787878787879	3.7712	0.0284
2.818181818181818	3.696	0.0316
2.8575757575757574	3.6432	0.0044
2.896969696969697	3.5696	0.0274
2.936363636363636	3.504	0.008
2.9757575757575756	3.224	0.0048
3.015151515151515	3.232	0.0332
3.0545454545454542	3.2272	0.0952
3.0939393939393938	3.1056	0.013
3.1333333333333333	3.168	0.024
3.1727272727272724	3.0176	0.0428
3.212121212121212	3.0608	0.0156
3.2515151515151515	2.9136	0.0348
3.2909090909090906	2.8352	0.0386
3.33030303030303	2.896	0.0238
3.3696969696969696	2.8432	0.0194
3.4090909090909087	2.7248	0.0366
3.4484848484848483	2.7216	0.0124
3.487878787878788	2.6048	0.0008
3.527272727272727	2.6288	0.0308
3.5666666666666664	2.6192	0.0238
3.606060606060606	2.5072	0.0106
3.645454545454545	2.5264	0.0486
3.6848484848484846	2.5184	0.0044
3.724242424242424	2.448	0.0016
3.7636363636363632	2.3728	0.0366
3.8030303030303028	2.3968	0.0222
3.8424242424242423	2.3296	0.0002
3.8818181818181814	2.3488	0.005
3.921212121212121	2.2736	0.0096
3.9606060606060605	2.2208	0.0222
4.0	2.2288	0.0022
